TransactionID,Date,CustomerID,ProductID,StoreID,Quantity,Discount,PaymentMethod
T00097,16-03-24,C128,P038,S003,5,0.1,Mobile Money
T00098,15-08-24,C124,P009,S004,2,0.15,Credit Card
T00099,18-10-24,C099,P017,S002,5,0.05,Cash
T00100,07-07-25,C071,P023,S004,3,0.1,Cash
T00101,06-06-25,C073,P013,S003,5,0.15,Credit Card
T00102,16-07-25,C115,P006,S005,4,0.1,Bank Transfer
T00103,29-12-24,C142,P016,S005,4,0.15,Bank Transfer
T00104,18-01-25,C049,P032,S002,5,0.15,Credit Card
T00105,14-01-24,C199,P011,S004,1,0.1,Mobile Money
T00106,29-01-25,C181,P049,S004,4,0.05,Mobile Money
T00107,07-03-25,C010,P010,S002,5,0.1,Cash
T00108,02-08-25,C113,P039,S001,5,0.15,Cash
T00109,09-11-23,C185,P030,S002,4,0.05,Cash
T00110,21-07-24,C121,P014,S003,3,0.15,Cash
T00111,24-03-24,C085,P043,S005,4,0.1,Mobile Money
T00112,09-01-24,C139,P022,S001,5,0,Credit Card
T00113,07-10-24,C162,P024,S003,2,0,Mobile Money
T00114,18-01-25,C026,P027,S001,4,0.05,Bank Transfer
T00115,13-06-25,C008,P038,S001,3,0,Bank Transfer
T00116,14-02-24,C092,P033,S003,4,0.05,Credit Card
T00117,08-06-24,C136,P006,S004,5,0.05,Credit Card
T00118,01-07-24,C045,P037,S001,5,0.15,Credit Card
T00119,16-09-24,C128,P033,S005,2,0.05,Mobile Money
T00120,26-10-24,C164,P024,S003,4,0.1,Cash
T00121,19-03-25,C120,P018,S003,5,0.05,Cash
T00122,22-01-25,C114,P030,S003,5,0.1,Mobile Money
T00123,30-03-25,C177,P042,S003,4,0.1,Credit Card
T00124,04-01-24,C099,P016,S004,1,0.05,Mobile Money
T00125,14-06-24,C147,P003,S003,5,0.1,Bank Transfer
T00126,21-10-23,C006,P001,S004,3,0,Cash
T00127,29-01-25,C156,P022,S004,3,0.05,Bank Transfer
T00128,17-09-24,C057,P029,S002,5,0.1,Credit Card
T00129,12-11-24,C161,P010,S001,1,0.1,Mobile Money
T00130,29-06-25,C009,P003,S005,3,0.05,Cash
T00131,10-01-24,C076,P015,S003,4,0.05,Credit Card
T00132,20-05-25,C034,P007,S005,3,0.1,Credit Card
T00133,14-04-24,C066,P016,S004,3,0.1,Cash
T00134,26-05-24,C120,P045,S001,2,0.05,Mobile Money
T00135,30-08-24,C143,P025,S003,1,0.15,Cash
T00136,12-07-24,C068,P037,S005,1,0.15,Bank Transfer
T00137,26-05-24,C173,P024,S003,5,0.15,Bank Transfer
T00138,21-01-24,C028,P028,S002,4,0,Bank Transfer
T00139,31-12-23,C157,P027,S002,1,0.15,Bank Transfer
T00140,03-02-25,C167,P030,S004,1,0.05,Cash
T00141,23-11-23,C010,P024,S003,4,0,Cash
T00142,27-09-24,C061,P049,S005,2,0.15,Mobile Money
T00143,09-08-25,C095,P033,S005,4,0.05,Mobile Money
T00144,18-12-23,C168,P044,S001,4,0.15,Bank Transfer
T00145,10-03-25,C009,P009,S003,2,0.15,Mobile Money
T00146,12-05-24,C061,P039,S003,1,0.1,Bank Transfer
T00147,17-09-24,C016,P035,S004,3,0.05,Cash
T00148,09-04-24,C117,P016,S001,2,0,Cash
T00149,16-10-23,C086,P014,S002,2,0.05,Cash
T00150,30-08-24,C196,P029,S005,2,0.05,Credit Card
T00151,04-09-24,C085,P021,S002,5,0,Bank Transfer
T00152,21-10-24,C038,P044,S002,5,0.1,Credit Card
T00153,20-04-24,C029,P006,S001,2,0,Bank Transfer
T00154,02-07-25,C061,P026,S005,3,0,Credit Card
T00155,25-07-24,C068,P014,S001,2,0.15,Cash
T00156,19-11-24,C191,P008,S001,4,0.15,Bank Transfer
T00157,29-09-24,C132,P003,S005,1,0.15,Credit Card
T00158,22-08-24,C158,P023,S001,5,0.1,Mobile Money
T00159,03-08-25,C165,P042,S001,1,0.15,Mobile Money
T00160,06-10-23,C110,P021,S001,4,0.15,Cash
T00161,17-05-25,C021,P046,S003,5,0.05,Cash
T00162,03-05-24,C033,P029,S003,5,0.1,Mobile Money
T00163,16-03-25,C153,P033,S005,3,0.15,Mobile Money
T00164,28-07-24,C026,P003,S001,5,0.05,Mobile Money
T00165,19-08-25,C116,P005,S002,4,0.1,Mobile Money
T00166,28-01-25,C103,P030,S004,1,0.1,Mobile Money
T00167,22-10-23,C081,P038,S003,3,0.05,Mobile Money
T00168,11-03-24,C018,P022,S001,1,0,Mobile Money
T00169,01-08-24,C025,P018,S003,2,0,Bank Transfer
T00170,25-02-24,C172,P044,S001,4,0.1,Mobile Money
T00171,23-12-23,C185,P035,S001,3,0.1,Bank Transfer
T00172,18-01-25,C027,P045,S005,5,0.05,Credit Card
T00173,02-09-24,C169,P027,S004,2,0,Bank Transfer
T00174,22-05-25,C143,P010,S003,1,0.1,Credit Card
T00175,27-11-24,C110,P006,S005,5,0,Bank Transfer
T00176,13-08-25,C008,P012,S002,3,0.1,Bank Transfer
T00177,17-08-25,C090,P023,S001,2,0.05,Mobile Money
T00178,08-04-24,C018,P016,S002,1,0,Credit Card
T00179,05-04-24,C097,P020,S004,4,0.1,Credit Card
T00180,04-06-24,C095,P009,S003,3,0,Cash
T00181,28-06-24,C040,P030,S002,5,0,Cash
T00182,31-12-23,C070,P029,S004,4,0.15,Mobile Money
T00183,21-05-25,C107,P012,S003,2,0,Bank Transfer
T00184,23-08-24,C111,P002,S001,3,0.15,Bank Transfer
T00185,02-07-25,C012,P030,S002,4,0,Cash
T00186,21-06-24,C053,P029,S003,2,0.05,Bank Transfer
T00187,26-09-24,C075,P013,S003,1,0,Mobile Money
T00188,22-04-24,C192,P016,S004,2,0.05,Mobile Money
T00189,26-03-25,C137,P044,S002,5,0.1,Cash
T00190,30-05-25,C102,P020,S001,4,0,Mobile Money
T00191,24-09-23,C020,P007,S003,5,0.15,Mobile Money
T00192,27-10-23,C182,P019,S004,3,0,Mobile Money
T00193,13-01-25,C006,P027,S003,2,0.15,Bank Transfer
T00194,08-12-23,C023,P010,S004,1,0.05,Mobile Money
T00195,07-06-25,C151,P016,S004,5,0,Mobile Money
T00196,07-09-24,C080,P011,S003,2,0.1,Credit Card
T00197,23-05-24,C020,P025,S005,1,0.05,Bank Transfer
T00198,14-03-25,C090,P025,S002,2,0,Credit Card
T00199,05-08-25,C066,P025,S002,2,0.05,Cash
T00200,30-11-23,C046,P044,S004,4,0.15,Bank Transfer
T00201,27-09-23,C161,P042,S003,2,0.15,Cash
T00202,04-01-24,C121,P027,S004,3,0.1,Cash
T00203,08-01-24,C091,P017,S005,1,0.1,Mobile Money
T00204,24-07-25,C116,P050,S001,1,0.1,Bank Transfer
T00205,19-04-25,C020,P004,S001,5,0.15,Mobile Money
T00206,14-10-23,C149,P043,S005,1,0.15,Credit Card
T00207,30-10-23,C083,P035,S005,4,0.05,Cash
T00208,21-03-25,C116,P004,S001,3,0,Credit Card
T00209,01-03-25,C011,P028,S002,4,0.15,Credit Card
T00210,02-08-24,C094,P021,S003,3,0.15,Mobile Money
T00211,08-04-25,C199,P023,S003,5,0,Bank Transfer
T00212,16-06-25,C017,P045,S003,1,0.15,Bank Transfer
T00213,28-11-24,C065,P008,S005,2,0.1,Cash
T00214,10-10-24,C150,P025,S002,3,0.1,Mobile Money
T00215,10-06-25,C034,P034,S005,1,0.1,Mobile Money
T00216,22-08-24,C165,P031,S003,2,0,Mobile Money
T00217,27-12-24,C131,P048,S003,1,0.1,Bank Transfer
T00218,10-03-24,C047,P048,S002,3,0.15,Credit Card
T00219,04-04-25,C058,P035,S002,2,0,Bank Transfer
T00220,18-04-24,C026,P021,S005,5,0,Bank Transfer
T00221,29-07-25,C197,P002,S005,2,0.15,Credit Card
T00222,07-04-25,C042,P045,S002,5,0.05,Mobile Money
T00223,13-08-25,C012,P046,S004,3,0.05,Mobile Money
T00224,24-06-25,C157,P017,S003,4,0.05,Credit Card
T00225,30-11-23,C080,P020,S004,2,0.1,Mobile Money
T00226,18-05-24,C119,P020,S003,4,0.15,Credit Card
T00227,25-08-24,C052,P032,S005,2,0.1,Cash
T00228,13-06-24,C165,P026,S004,3,0,Cash
T00229,12-07-25,C073,P042,S001,2,0.1,Mobile Money
T00230,05-12-24,C132,P022,S002,4,0,Credit Card
T00231,20-06-25,C116,P046,S003,1,0.15,Cash
T00232,26-01-25,C102,P038,S005,3,0.05,Mobile Money
T00233,11-08-24,C021,P050,S003,2,0,Bank Transfer
T00234,18-04-25,C026,P021,S003,2,0.05,Cash
T00235,10-08-25,C074,P007,S004,2,0.15,Mobile Money
T00236,27-01-24,C158,P050,S001,1,0,Bank Transfer
T00237,08-05-24,C056,P039,S002,5,0.15,Cash
T00238,27-09-23,C199,P023,S003,2,0.1,Cash
T00239,27-04-24,C013,P014,S002,4,0.15,Cash
T00240,03-09-24,C029,P018,S004,5,0,Credit Card
T00241,28-10-24,C184,P034,S002,3,0.15,Cash
T00242,30-03-25,C158,P015,S003,2,0.15,Credit Card
T00243,03-09-25,C171,P044,S001,5,0.1,Cash
T00244,09-04-24,C135,P002,S005,5,0,Mobile Money
T00245,14-09-24,C121,P011,S001,4,0.1,Bank Transfer
T00246,03-06-24,C192,P030,S001,3,0,Bank Transfer
T00247,07-12-24,C062,P022,S001,5,0.1,Credit Card
T00248,17-11-23,C012,P035,S003,5,0.1,Credit Card
T00249,02-02-25,C200,P039,S004,4,0.05,Credit Card
T00250,08-07-25,C017,P037,S004,1,0.1,Credit Card
T00251,03-08-24,C012,P022,S002,1,0.1,Bank Transfer
T00252,20-03-24,C132,P046,S004,5,0.15,Bank Transfer
T00253,20-02-24,C010,P004,S002,3,0.1,Cash
T00254,16-03-25,C168,P046,S003,3,0,Bank Transfer
T00255,11-11-24,C112,P039,S004,4,0.15,Bank Transfer
T00256,29-09-24,C048,P015,S004,4,0.1,Bank Transfer
T00257,18-10-24,C022,P040,S004,1,0.15,Credit Card
T00258,27-03-25,C140,P046,S003,3,0,Cash
T00259,10-05-25,C084,P011,S003,3,0.15,Mobile Money
T00260,26-02-25,C043,P024,S004,3,0.15,Cash
T00261,16-11-23,C187,P030,S003,5,0.15,Bank Transfer
T00262,04-08-24,C164,P039,S001,1,0.15,Bank Transfer
T00263,03-10-24,C132,P035,S002,1,0.05,Mobile Money
T00264,19-02-25,C009,P037,S002,1,0.05,Bank Transfer
T00265,01-05-25,C093,P044,S004,5,0,Credit Card
T00266,23-05-24,C174,P014,S004,3,0.1,Mobile Money
T00267,11-10-23,C196,P009,S001,5,0.05,Bank Transfer
T00268,23-01-25,C102,P016,S003,3,0.05,Cash
T00269,23-05-24,C007,P046,S002,4,0.15,Cash
T00270,24-02-24,C068,P023,S003,4,0.05,Bank Transfer
T00271,20-06-25,C178,P040,S004,2,0,Credit Card
T00272,03-12-24,C019,P002,S004,2,0.15,Cash
T00273,20-10-23,C175,P014,S003,3,0,Bank Transfer
T00274,11-11-23,C077,P002,S002,2,0.1,Credit Card
T00275,03-07-25,C032,P043,S002,2,0.05,Mobile Money
T00276,13-10-23,C007,P031,S003,5,0.1,Mobile Money
T00277,16-07-24,C142,P035,S002,5,0,Cash
T00278,10-10-24,C080,P036,S004,4,0.15,Mobile Money
T00279,13-07-25,C148,P012,S001,2,0.1,Cash
T00280,05-02-25,C116,P020,S004,5,0.1,Credit Card
T00281,14-10-24,C200,P047,S005,5,0.05,Credit Card
T00282,09-03-25,C111,P023,S005,1,0,Credit Card
T00283,12-07-24,C078,P026,S002,2,0.1,Credit Card
T00284,07-06-24,C089,P022,S005,3,0,Bank Transfer
T00285,01-07-24,C051,P009,S005,3,0.05,Bank Transfer
T00286,11-10-23,C158,P050,S005,1,0.05,Credit Card
T00287,11-07-24,C044,P048,S005,5,0.1,Cash
T00288,16-04-24,C008,P041,S001,1,0.1,Credit Card
T00289,25-05-24,C197,P001,S005,4,0,Mobile Money
T00290,07-10-24,C161,P001,S005,3,0.1,Mobile Money
T00291,12-06-25,C063,P043,S004,3,0.15,Cash
T00292,02-07-24,C177,P041,S001,2,0.15,Mobile Money
T00293,25-05-25,C124,P005,S004,2,0.1,Credit Card
T00294,20-03-25,C081,P015,S003,3,0.15,Credit Card
T00295,29-04-25,C195,P020,S003,5,0,Bank Transfer
T00296,21-05-25,C062,P004,S004,1,0.1,Mobile Money
T00297,04-10-24,C064,P017,S002,1,0,Bank Transfer
T00298,21-08-24,C099,P009,S005,4,0.05,Credit Card
T00299,21-11-23,C084,P027,S005,3,0.05,Credit Card
T00300,15-11-23,C128,P011,S005,4,0.15,Bank Transfer
T00301,07-12-24,C128,P032,S001,1,0.15,Mobile Money
T00302,11-12-24,C062,P014,S002,5,0.1,Cash
T00303,09-09-25,C013,P017,S003,4,0.15,Bank Transfer
T00304,08-06-24,C138,P014,S001,1,0.15,Credit Card
T00305,08-10-24,C068,P029,S003,4,0.1,Cash
T00306,17-10-24,C103,P001,S001,5,0.05,Bank Transfer
T00307,14-07-25,C142,P012,S003,1,0.15,Mobile Money
T00308,23-11-24,C196,P023,S005,3,0,Credit Card
T00309,07-04-24,C025,P049,S004,3,0.1,Bank Transfer
T00310,28-11-23,C194,P010,S002,2,0.15,Cash
T00311,01-07-24,C012,P031,S001,2,0.1,Mobile Money
T00312,08-01-25,C133,P024,S004,2,0.05,Bank Transfer
T00313,19-12-24,C157,P038,S003,2,0.15,Bank Transfer
T00314,13-04-25,C152,P028,S003,5,0.15,Bank Transfer
T00315,19-09-23,C122,P026,S001,3,0.1,Cash
T00316,01-04-25,C107,P003,S005,3,0,Mobile Money
T00317,27-02-25,C068,P047,S005,5,0.05,Cash
T00318,24-05-25,C150,P043,S004,2,0.15,Credit Card
T00319,05-02-25,C175,P014,S002,1,0,Credit Card
T00320,06-10-24,C005,P032,S004,3,0.15,Credit Card
T00321,08-11-24,C106,P016,S002,4,0.15,Cash
T00322,03-12-24,C181,P018,S002,5,0.05,Bank Transfer
T00323,25-04-25,C170,P037,S004,5,0.15,Bank Transfer
T00324,20-04-24,C045,P003,S004,5,0.1,Bank Transfer
T00325,29-12-23,C174,P014,S003,5,0.15,Credit Card
T00326,02-10-24,C064,P002,S003,5,0.1,Credit Card
T00327,27-06-25,C077,P045,S003,2,0.15,Bank Transfer
T00328,22-05-25,C123,P043,S003,5,0.1,Bank Transfer
T00329,13-12-24,C032,P036,S005,5,0.15,Mobile Money
T00330,17-11-23,C089,P034,S002,3,0,Bank Transfer
T00331,26-11-24,C183,P046,S001,3,0.15,Bank Transfer
T00332,11-03-24,C192,P002,S004,2,0.05,Bank Transfer
T00333,18-09-24,C144,P026,S003,2,0,Credit Card
T00334,01-09-25,C063,P026,S001,5,0.05,Credit Card
T00335,26-10-24,C014,P041,S001,4,0.1,Mobile Money
T00336,12-12-24,C026,P014,S002,1,0.05,Mobile Money
T00337,20-12-24,C168,P043,S004,4,0.05,Bank Transfer
T00338,31-10-24,C083,P010,S003,1,0,Credit Card
T00339,13-04-24,C137,P039,S001,2,0.15,Credit Card
T00340,08-05-24,C010,P010,S004,4,0.05,Bank Transfer
T00341,24-11-23,C010,P050,S001,3,0,Bank Transfer
T00342,08-07-25,C073,P037,S004,5,0.15,Credit Card
T00343,23-11-24,C130,P022,S004,3,0.05,Cash
T00344,20-02-25,C085,P045,S002,4,0.1,Credit Card
T00345,30-08-25,C004,P033,S003,3,0.05,Credit Card
T00346,28-03-25,C157,P014,S004,4,0.1,Cash
T00347,03-03-25,C103,P030,S001,2,0.05,Mobile Money
T00348,10-03-25,C083,P025,S002,1,0.1,Mobile Money
T00349,12-07-25,C061,P025,S004,3,0.1,Bank Transfer
T00350,25-12-24,C150,P015,S005,1,0.1,Bank Transfer
T00351,24-12-24,C178,P047,S002,1,0,Mobile Money
T00352,04-01-24,C079,P011,S002,4,0.1,Cash
T00353,14-03-25,C164,P015,S003,3,0.05,Credit Card
T00354,24-12-23,C035,P039,S004,2,0.15,Bank Transfer
T00355,16-09-23,C107,P031,S005,4,0.05,Credit Card
T00356,29-08-25,C175,P050,S005,1,0.15,Bank Transfer
T00357,20-08-24,C020,P015,S005,1,0,Credit Card
T00358,28-10-23,C147,P049,S005,2,0.05,Bank Transfer
T00359,22-03-25,C134,P006,S004,1,0.05,Mobile Money
T00360,30-01-24,C024,P008,S005,4,0,Mobile Money
T00361,18-08-25,C034,P011,S005,4,0.15,Cash
T00362,17-06-24,C144,P026,S004,3,0,Mobile Money
T00363,09-09-24,C066,P018,S001,2,0,Cash
T00364,28-06-24,C109,P024,S003,1,0,Cash
T00365,15-06-24,C121,P045,S001,3,0.15,Credit Card
T00366,18-01-25,C197,P034,S002,4,0.1,Mobile Money
T00367,08-02-24,C115,P005,S004,4,0,Credit Card
T00368,26-10-23,C168,P044,S003,1,0.05,Mobile Money
T00369,10-08-25,C136,P019,S002,2,0,Cash
T00370,14-12-24,C077,P010,S004,5,0.15,Mobile Money
T00371,04-04-24,C059,P035,S002,4,0.1,Credit Card
T00372,29-08-24,C071,P014,S002,1,0,Mobile Money
T00373,14-05-25,C158,P026,S001,2,0.05,Cash
T00374,19-07-25,C026,P013,S005,1,0.15,Cash
T00375,11-11-23,C063,P025,S001,4,0.15,Credit Card
T00376,28-05-25,C139,P039,S002,1,0.05,Bank Transfer
T00377,23-05-24,C060,P030,S005,3,0.1,Credit Card
T00378,21-02-25,C078,P034,S002,5,0.05,Mobile Money
T00379,13-02-24,C077,P005,S003,1,0.05,Mobile Money
T00380,16-02-25,C143,P010,S004,1,0.1,Mobile Money
T00381,18-10-24,C135,P043,S003,4,0.15,Credit Card
T00382,27-07-24,C077,P021,S004,2,0.15,Credit Card
T00383,26-02-25,C058,P037,S003,2,0.15,Cash
T00384,29-04-25,C144,P007,S004,4,0.05,Mobile Money
T00385,20-11-24,C063,P007,S003,2,0.1,Cash
T00386,17-07-24,C116,P043,S003,1,0.05,Cash
T00387,15-04-24,C069,P011,S004,5,0,Cash
T00388,24-11-23,C049,P024,S005,5,0.05,Mobile Money
T00389,19-10-24,C054,P020,S003,3,0,Credit Card
T00390,10-06-25,C049,P048,S001,4,0.05,Credit Card
T00391,10-10-24,C102,P005,S002,5,0.1,Bank Transfer
T00392,09-10-24,C098,P041,S004,5,0.1,Bank Transfer
T00393,23-12-24,C067,P031,S003,5,0.15,Mobile Money
T00394,07-05-24,C026,P001,S004,3,0.05,Bank Transfer
T00395,16-12-24,C081,P025,S004,1,0.05,Credit Card
T00396,25-07-24,C005,P049,S003,5,0.15,Bank Transfer
T00397,17-11-23,C040,P029,S002,3,0.05,Mobile Money
T00398,14-10-24,C146,P009,S002,4,0.1,Bank Transfer
T00399,04-10-23,C196,P017,S004,4,0.15,Credit Card
T00400,24-01-24,C188,P006,S003,2,0.05,Mobile Money
T00401,27-07-24,C048,P047,S005,1,0,Cash
T00402,13-05-25,C172,P021,S001,1,0.15,Credit Card
T00403,04-05-24,C162,P029,S002,1,0.05,Cash
T00404,20-01-25,C056,P048,S005,4,0.1,Cash
T00405,06-08-24,C159,P022,S005,4,0.15,Cash
T00406,21-05-25,C002,P031,S005,5,0.15,Cash
T00407,13-06-25,C005,P034,S005,3,0.1,Cash
T00408,22-12-24,C129,P015,S004,2,0,Cash
T00409,21-01-25,C135,P037,S002,2,0.05,Bank Transfer
T00410,18-05-24,C091,P048,S003,4,0,Bank Transfer
T00411,24-09-24,C104,P002,S004,5,0.05,Credit Card
T00412,03-10-23,C077,P005,S001,1,0,Mobile Money
T00413,20-01-24,C098,P030,S004,5,0.15,Cash
T00414,19-09-23,C164,P034,S001,2,0,Mobile Money
T00415,13-06-25,C112,P029,S003,5,0,Cash
T00416,18-04-25,C059,P036,S002,5,0.15,Bank Transfer
T00417,19-10-23,C012,P004,S001,3,0,Credit Card
T00418,12-11-24,C081,P033,S001,2,0.05,Mobile Money
T00419,30-01-24,C020,P029,S003,2,0.05,Mobile Money
T00420,30-03-24,C174,P029,S005,3,0.15,Credit Card
T00421,28-11-23,C177,P019,S001,5,0.1,Cash
T00422,13-07-25,C026,P046,S004,2,0,Bank Transfer
T00423,06-12-23,C155,P001,S005,5,0.15,Bank Transfer
T00424,13-04-24,C008,P014,S003,4,0.15,Credit Card
T00425,09-10-24,C092,P004,S005,4,0.15,Credit Card
T00426,11-09-23,C175,P024,S005,4,0,Bank Transfer
T00427,10-12-24,C064,P030,S001,1,0.1,Credit Card
T00428,30-08-25,C098,P033,S002,4,0.1,Bank Transfer
T00429,18-02-24,C028,P010,S001,1,0.1,Mobile Money
T00430,03-03-24,C093,P026,S003,1,0.05,Cash
T00431,10-01-24,C048,P015,S004,4,0.15,Cash
T00432,18-12-23,C007,P048,S001,3,0,Bank Transfer
T00433,12-02-24,C099,P010,S001,3,0.15,Mobile Money
T00434,21-02-25,C200,P030,S001,5,0.05,Credit Card
T00435,20-02-25,C176,P028,S004,2,0.05,Bank Transfer
T00436,16-03-24,C078,P011,S003,4,0.05,Cash
T00437,20-03-24,C043,P025,S004,3,0.15,Bank Transfer
T00438,29-05-25,C124,P027,S001,3,0.1,Credit Card
T00439,15-05-24,C185,P046,S004,5,0.05,Mobile Money
T00440,26-09-23,C028,P048,S002,3,0,Mobile Money
T00441,28-08-25,C086,P012,S005,4,0.1,Mobile Money
T00442,17-08-24,C086,P027,S004,5,0.05,Bank Transfer
T00443,06-04-25,C083,P028,S005,2,0.15,Bank Transfer
T00444,01-04-24,C046,P018,S004,3,0.1,Mobile Money
T00445,17-01-25,C148,P002,S002,3,0.15,Bank Transfer
T00446,12-10-24,C101,P016,S003,1,0.05,Credit Card
T00447,02-05-25,C175,P015,S005,1,0.15,Credit Card
T00448,31-03-24,C113,P044,S003,1,0.15,Mobile Money
T00449,02-01-25,C036,P038,S003,2,0.1,Credit Card
